,lon,lat
19481,-75.57662,39.71345
22979,-75.46766,40.52232
22977,-75.46764,40.52236
41127,-75.46762,40.52239
23570,-75.46726,40.52279
23575,-75.46688,40.52319
23578,-75.46665,40.52343
23592,-75.46551,40.52459
23593,-75.46544,40.52465
23596,-75.46521,40.52483
23598,-75.46505,40.52491
23622,-75.46146,40.5259
23627,-75.4606,40.5261
23641,-75.45815,40.52666
23645,-75.45752,40.5268
23653,-75.45632,40.52706
23654,-75.45618,40.52709
25264,-75.2894,40.55653
25262,-75.28912,40.55657
24854,-75.27947,40.55787
23373,-75.27414,40.55778
23372,-75.27397,40.55776
23334,-75.26839,40.55649
23282,-75.25934,40.55326
35345,-75.1628,40.51572
35344,-75.16276,40.5157
9016,-74.97653,40.40706
9161,-74.96626,40.40104
10938,-74.77074,40.21831
10939,-74.77059,40.21816
10940,-74.77045,40.21801
10942,-74.77017,40.2177
10943,-74.77003,40.21753
10945,-74.76977,40.21718
10946,-74.76965,40.217
11051,-74.76499,40.20996
11049,-74.76494,40.20988
11023,-74.76425,40.2083
11022,-74.76422,40.20823
13127,-74.74447,40.1611
7921,-74.74302,40.15582
7919,-74.74302,40.15577
7918,-74.74303,40.15574
7917,-74.74305,40.15572
5789,-74.75717,40.14597
26803,-75.14169,39.90262
26804,-75.14187,39.90251
12800,-75.14202,39.90243
12801,-75.14219,39.90235
17492,-75.56624,39.707
17493,-75.5664,39.70693
17495,-75.56648,39.70692
17496,-75.56662,39.70692
17498,-75.56669,39.70693
17534,-75.5669,39.707
18792,-75.57676,39.71124
18760,-75.57677,39.71125
18745,-75.57677,39.71126
